breadcrumb,image_url,brand,product_name,listing_price,offer_price,discount,sizes,product_details,URL
"Men,Designers,Hoka One One,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/51/P00970153.jpg,Hoka One One,Mafate Speed 2 trail running shoes,€ 150,€ 120,20% off,"US 7 / EU 40,US 8 / EU 41 1/3,US 9 / EU 42 2/3,US 10 / EU 44,US 11 / EU 45 1/3,US 12 / EU 46 2/3,US 13 / EU 48","Upper: fabric, rubber,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Electric Tangerine / Citrus,Closure: lace-up,Item number: P00970153,Fits small to size - we recommend trying one size larger,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/hoka-one-one-mafate-speed-2-trail-running-shoes-orange-p00970153
"Men,Designers,Hoka One One,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/78/P00970172.jpg,Hoka One One,Kawana 2 running shoes,€ 120,€ 96,20% off,"US 7 / EU 40,US 8 / EU 41 1/3,US 9 / EU 42 2/3,US 10 / EU 44,US 11 / EU 45 1/3","Upper: rubber, fabric,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box, extra laces,Designer color name: Obsidian / Alabaster,Closure: lace-up,Item number: P00970172,Fits small to size - we recommend trying one size larger,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/hoka-one-one-kawana-2-running-shoes-black-p00970172
"Men,Designers,Hoka One One,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/67/P00970150.jpg,Hoka One One,Hopara sneakers,€ 100,€ 80,20% off,"US 7 / EU 40,US 8 / EU 41 1/3,US 9 / EU 42 2/3,US 10 / EU 44,US 11 / EU 45 1/3,US 12 / EU 46 2/3,US 13 / EU 48","Upper: rubber,Lining: rubber,Sole: rubber insole and sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Black / Alabaster,Trim: fabric,Item number: P00970150,True to size,Unisex style,Half sizes please take the next size up,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/hoka-one-one-hopara-sneakers-black-p00970150
"Men,Designers,Birkenstock,Shoes,Slippers",https://www.mytheresa.com/media/1094/1238/100/54/P00956989.jpg,Birkenstock,Tokio II suede clogs,€ 135,€ 94,30% off,"EU 39,EU 40,EU 41,EU 42,EU 43,EU 44,EU 45,EU 46","Upper: suede,Lining: leather,Sole: rubber insole and sole,Toe shape: round toe,Made in Germany,Includes: shoe box,Designer color name: Black,Item number: P00956989,True to size,Half sizes please take the next size down,European sizes,Birkenstock width: normal feet,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/birkenstock-tokio-ii-suede-clogs-black-p00956989
"Men,Designers,Lanvin,Shoes,Sneakers,Designer sneakers",https://www.mytheresa.com/media/1094/1238/100/c3/P00943626.jpg,Lanvin,DBB1 leather-trimmed suede sneakers,€ 380,€ 266,30% off,"UK 5 / EU 39,UK 6 / EU 40,UK 7 / EU 41,UK 8 / EU 42,UK 9 / EU 43,UK 10 / EU 44,UK 11 / EU 45,UK 12 / EU 46,UK 13 / EU 47","Upper: leather,Lining: leather,Sole: rubber insole and sole,Toe shape: round toe,Made in Portugal,Includes: shoe box, dust bags,Designer color name: Dark Green/ Ecru,Item number: P00943626,True to size,Half sizes please take the next size up,UK sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/lanvin-dbb1-leather-trimmed-suede-sneakers-green-p00943626
"Men,Designers,New Balance,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/d0/P00970191.jpg,New Balance,9060 embroidered leather sneakers,€ 160,€ 128,20% off,"US 6.5 / EU 39.5,US 7 / EU 40,US 7.5 / EU 40.5,US 8 / EU 41.5,US 8.5 / EU 42,US 9 / EU 42.5,US 9.5 / EU 43,US 10 / EU 44,US 10.5 / EU 44.5,US 11 / EU 45,US 11.5 / EU 45.5,US 12 / EU 46.5,US 13 / EU 47.5","Upper: fabric, leather, rubber,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Taro/Plum Brown,Item number: P00970191,Fits small to size - we recommend trying one size larger,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/new-balance-9060-embroidered-leather-sneakers-multicoloured-p00970191
"Men,Designers,New Balance,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/b2/P00970177.jpg,New Balance,1000 embroidered sneakers,€ 160,€ 128,20% off,"US 6.5 / EU 39.5,US 7 / EU 40,US 7.5 / EU 40.5,US 8 / EU 41.5,US 8.5 / EU 42,US 9 / EU 42.5,US 9.5 / EU 43,US 10 / EU 44,US 10.5 / EU 44.5,US 11 / EU 45,US 11.5 / EU 45.5,US 12 / EU 46.5,US 13 / EU 47.5","Upper: fabric, rubber,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Silver Metalic/Raincloud,Closure: lace-up,Item number: P00970177,Fits small to size - we recommend trying one size larger,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/new-balance-1000-embroidered-sneakers-grey-p00970177
"Men,Designers,New Balance,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/47/P00970192.jpg,New Balance,9060 embroidered leather sneakers,€ 160,€ 128,20% off,"US 6.5 / EU 39.5,US 7 / EU 40,US 7.5 / EU 40.5,US 8 / EU 41.5,US 8.5 / EU 42,US 9 / EU 42.5,US 9.5 / EU 43,US 10 / EU 44,US 10.5 / EU 44.5,US 11 / EU 45,US 11.5 / EU 45.5,US 12 / EU 46.5,US 13 / EU 47.5","Upper: fabric, leather, rubber,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Butterscotch/Dark Mushroom,Closure: lace-up,Item number: P00970192,Fits slightly small to size - we recommend trying a half size larger,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/new-balance-9060-embroidered-leather-sneakers-multicoloured-p00970192
"Men,Designers,On,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/c5/P00960533.jpg,On,Cloudvista 2 sneakers,€ 135,€ 108,20% off,"US 7 / EU 40,US 8 / EU 41,US 9 / EU 42.5,US 10 / EU 44,US 11 / EU 45,US 12 / EU 47,US 13 / EU 48","Upper: fabric,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box,Designer color name: Glacier/Eclipse,Closure: lace-up,Item number: P00960533,True to size,Half sizes please take the next size up,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/on-cloudvista-2-sneakers-white-p00960533
"Men,Designers,Hoka One One,Shoes,Sneakers,Sports sneakers",https://www.mytheresa.com/media/1094/1238/100/b0/P00970166.jpg,Hoka One One,Bondi 8 running shoes,€ 145,€ 116,20% off,"US 7 / EU 40,US 8 / EU 41 1/3,US 9 / EU 42 2/3,US 10 / EU 44,US 11 / EU 45 1/3,US 12 / EU 46 2/3,US 13 / EU 48","Upper: fabric, rubber,Lining: fabric,Sole: fabric insole, rubber sole,Toe shape: round toe,Made in Vietnam,Includes: shoe box, extra laces,Designer color name: WHITE / VERMILLION,Closure: lace-up,Item number: P00970166,Fits small to size - we recommend trying one size larger,US sizes,Consult our ,More questions about this item?",https://www.mytheresa.com/int/en/men/hoka-one-one-bondi-8-running-shoes-white-p00970166
